,Unnamed: 0_x,PLAYER,TEAM,GP_x,MPG_x,OFF_x,ORPG_x,DEF_x,DRPG_x,REB_x,RPG_x,RP40_x,GP_y,MPG_y,OFF_y,ORPG_y,DEF_y,DRPG_y,REB_y,RPG_y,RP40_y,GP_x.1,PPG_x,FGM_x,FGA_x,FGM_x.1,FGA_x.1,FG%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x.1,GP_y.1,PPG_y,FGM_y,FGA_y,FGM_y.1,FGA_y.1,FG%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y.1,GP_x.2,PPG_x.1,FTM_x,FTA_x,FTM_x.1,FTA_x.1,FT%_x,GP_y.2,PPG_y.1,FTM_y,FTA_y,FTM_y.1,FTA_y.1,FT%_y,GP_x.3,PPG_x.2,3PM_x,3PA_x,3PM_x.1,3PA_x.1,3P%_x,2PM_x.1,2PA_x.1,2P%_x.1,PPS_x.1,FG%_x.2,GP_y.3,PPG_y.2,3PM_y,3PA_y,3PM_y.1,3PA_y.1,3P%_y,2PM_y.1,2PA_y.1,2P%_y.1,PPS_y.1,FG%_y.2,GP_x.4,MPG_x.1,AST_x,APG_x,TO_x,TOPG_x,AP40M_x,AST/TO_x,GP_y.4,MPG_y.1,AST_y,APG_y,TO_y,TOPG_y,AP40M_y,AST/TO_y,GP_x.5,MPG_x.2,STL_x,STPG_x,STP40M_x,TO_x.1,TOPG_x.1,PF_x,ST/TO_x,ST/PF_x,GP_y.5,MPG_y.2,STL_y,STPG_y,STP40M_y,TO_y.1,TOPG_y.1,PF_y,ST/TO_y,ST/PF_y,GP_x.6,MPG_x.3,BLK_x,PF_x.1,BLKPG_x,BLKP40M_x,BLK/PF_x,GP_y.6,MPG_y.3,BLK_y,PF_y.1,BLKPG_y,BLKP40M_y,BLK/PF_y,GP_x.7,MPG_x.4,PTS_x,FGM-FGA_x,FG%_x.3,3PM-3PA_x,3P%_x.1,FTM-FTA_x,FT%_x.1,GP_y.7,MPG_y.4,PTS_y,FGM-FGA_y,FG%_y.3,3PM-3PA_y,3P%_y.1,FTM-FTA_y,FT%_y.1,GP_x.8,MPG_x.5,PTS_x.1,FGM-FGA_x.1,FG%_x.4,3PM-3PA_x.1,3P%_x.2,FTM-FTA_x.1,FT%_x.2,GP_y.8,MPG_y.5,PTS_y.1,FGM-FGA_y.1,FG%_y.4,3PM-3PA_y.1,3P%_y.2,FTM-FTA_y.1,FT%_y.2,Unnamed: 0_y,Team,Salary,Position,Season,Percentile
5,5,Al Horford,FLA,6,31.7,16,2.7,52,8.7,68,11.3,14.3,32,27.1,80,2.5,212,6.6,292,9.1,13.5,6,13.5,4.3,7.2,26,43,0.605,26,43,0.605,1.88,0.605,33,11.2,4.5,7.3,148,240,0.617,148,238,0.622,1.55,0.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,31.7,10,15,1.67,2.11,0.67,32,27.1,60,79,1.88,2.77,0.76,,,,,,,,,,,,,,,,,,,6,31.7,81,26-43,0.605,0-0,0,29-42,0.69,,,,,,,,,,1525,Atlanta Hawks,3745800, C,2007-2008,0.602870813
376,376,Al Thornton,FSU,,,,,,,,,,,,,,,,,,,3,17,7,11.3,21,34,0.618,18,27,0.667,1.5,0.662,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,1,2,3,7,0.429,18,27,0.667,1.5,0.662,32,20,1,2,33,74,0.446,190,352,0.54,1.5,0.562,,,,,,,,,,,,,,,,,3,26.7,6,2,3,10,3.33,9,0.6,0.67,,,,,,,,,,,3,26.7,4,9,1.33,2,0.44,,,,,,,,3,26.7,17,7.0-11.3,0.618,1.0-2.3,0.429,2.0-4.7,0.429,32,31.6,20,7.0-13.3,0.523,1.0-2.3,0.446,5.0-6.1,0.816,3,26.7,51,21-34,0.618,7-Mar,0.429,14-Jun,0.429,32,31.6,639,223-426,0.523,33-74,0.446,160-196,0.816,1634,LA Clippers,1652280, SF,2007-2008,0.342105263
6,6,Al-Farouq Aminu,WAKE,2,31,10,5,13,6.5,23,11.5,14.8,29,31.3,123,4.2,186,6.4,309,10.7,13.6,1,17,7,11,7,11,0.636,6,8,0.75,1.55,0.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31,2,3,2,2.58,0.67,,,,,,,,2,31,18,6.0-16.0,0.375,1.0-3.5,0.286,5.0-8.0,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,2827,LA Clippers,2563320, PF,2010-2011,0.501118568
485,485,Alan Anderson,MSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,13.6,4.8,8.5,134,237,0.565,114,180,0.633,1.61,0.608,5,11.2,4.2,4.4,21,22,0.955,28,13.6,3.3,3.9,93,108,0.861,1,10,1,2,1,2,0.5,1,3,0.333,2,0.5,,,,,,,,,,,,,4,31.5,17,4.3,11,2.8,5.4,1.55,,,,,,,,,1,27,3,3,4.44,3,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,27.8,56,15-31,0.484,8-May,0.625,21-22,0.955,,,,,,,,,,929,Charlotte Bobcats,398762, SG,2005-2006,0.04
7,7,Alan Williams,UCSB,1,31,4,4,6,6,10,10,12.9,28,31.1,106,3.8,216,7.7,322,11.5,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31,2,2,2.58,3,3,3,0.67,0.67,,,,,,,,,,,,,,,,,,28,31.1,67,84,2.39,3.07,0.8,1,31,19,7.0-13.0,0.538,0.0-0.0,0,5.0-9.0,0.556,28,31.1,21.3,8.0-15.0,0.533,0.0-0.0,0,5.3-7.7,0.685,,,,,,,,,,28,31.1,596,224-420,0.533,0-0,0,148-216,0.685,5323,Phoenix Suns,83397, PF,2015-2016,0.013856813
8,8,Alando Tucker,WIS,3,32.7,7,2.3,13,4.3,20,6.7,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,17.5,7,8.8,28,35,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,35.8,17.5,5.3-12.0,0.438,0.0-2.5,0,7.0-8.8,0.8,34,32.6,19.9,7.2-15.2,0.476,1.1-3.3,0.327,4.3-6.6,0.65,4,35.8,70,21-48,0.438,0-10,0,28-35,0.8,34,32.6,676,246-517,0.476,37-113,0.327,147-226,0.65,1694,Phoenix Suns,931920, SF,2007-2008,0.198564593
500,500,Alec Burks,COLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,24.3,7.8,9.3,31,37,0.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,32.5,9,2.25,2.77,5,1.25,6,1.8,1.5,,,,,,,,,,,,,,,,,,,,,,,,,4,32.5,24.3,7.8-13.3,0.585,1.0-2.8,0.364,7.8-9.3,0.838,34,31.3,20.1,6.5-14.2,0.456,0.7-2.5,0.282,6.4-7.8,0.823,4,32.5,97,31-53,0.585,11-Apr,0.364,31-37,0.838,34,31.3,682,220-482,0.456,24-85,0.282,218-265,0.823,3313,Utah Jazz,2111160, SG,2011-2012,0.469635628
638,638,Alex Acker,PEPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,16.6,2.9,3.4,91,106,0.858,,,,,,,,,,,,,31,16.6,1.9,4,59,137,0.431,124,270,0.459,1.27,0.522,,,,,,,,,,,,,,,,,,,,,,,,,,,29,32.4,53,1.83,2.26,72,2.48,63,0.74,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,37.2,516,183-407,0.45,59-137,0.431,91-106,0.858,930,Detroit Pistons,398762, G,2005-2006,0.0375
817,817,Alex Len,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,24,15,12,3.75,6.25,1.25,34,26.7,63,89,1.85,2.78,0.71,,,,,,,,,,,,,,,,,,,4,24,44,17-33,0.515,0-0,0,15-Oct,0.667,,,,,,,,,,4238,Phoenix Suns,3492720, C,2013-2014,0.579220779
486,486,Alex Poythress,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,11.4,4.1,6.9,130,222,0.586,116,190,0.611,1.64,0.617,2,9,4,4,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5783,Philadelphia 76ers,35166, SF,2016-2017,0.017316017
