,Unnamed: 0_x,PLAYER,TEAM,GP_x,MPG_x,OFF_x,ORPG_x,DEF_x,DRPG_x,REB_x,RPG_x,RP40_x,GP_y,MPG_y,OFF_y,ORPG_y,DEF_y,DRPG_y,REB_y,RPG_y,RP40_y,GP_x.1,PPG_x,FGM_x,FGA_x,FGM_x.1,FGA_x.1,FG%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x.1,GP_y.1,PPG_y,FGM_y,FGA_y,FGM_y.1,FGA_y.1,FG%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y.1,GP_x.2,PPG_x.1,FTM_x,FTA_x,FTM_x.1,FTA_x.1,FT%_x,GP_y.2,PPG_y.1,FTM_y,FTA_y,FTM_y.1,FTA_y.1,FT%_y,GP_x.3,PPG_x.2,3PM_x,3PA_x,3PM_x.1,3PA_x.1,3P%_x,2PM_x.1,2PA_x.1,2P%_x.1,PPS_x.1,FG%_x.2,GP_y.3,PPG_y.2,3PM_y,3PA_y,3PM_y.1,3PA_y.1,3P%_y,2PM_y.1,2PA_y.1,2P%_y.1,PPS_y.1,FG%_y.2,GP_x.4,MPG_x.1,AST_x,APG_x,TO_x,TOPG_x,AP40M_x,AST/TO_x,GP_y.4,MPG_y.1,AST_y,APG_y,TO_y,TOPG_y,AP40M_y,AST/TO_y,GP_x.5,MPG_x.2,STL_x,STPG_x,STP40M_x,TO_x.1,TOPG_x.1,PF_x,ST/TO_x,ST/PF_x,GP_y.5,MPG_y.2,STL_y,STPG_y,STP40M_y,TO_y.1,TOPG_y.1,PF_y,ST/TO_y,ST/PF_y,GP_x.6,MPG_x.3,BLK_x,PF_x.1,BLKPG_x,BLKP40M_x,BLK/PF_x,GP_y.6,MPG_y.3,BLK_y,PF_y.1,BLKPG_y,BLKP40M_y,BLK/PF_y,GP_x.7,MPG_x.4,PTS_x,FGM-FGA_x,FG%_x.3,3PM-3PA_x,3P%_x.1,FTM-FTA_x,FT%_x.1,GP_y.7,MPG_y.4,PTS_y,FGM-FGA_y,FG%_y.3,3PM-3PA_y,3P%_y.1,FTM-FTA_y,FT%_y.1,GP_x.8,MPG_x.5,PTS_x.1,FGM-FGA_x.1,FG%_x.4,3PM-3PA_x.1,3P%_x.2,FTM-FTA_x.1,FT%_x.2,GP_y.8,MPG_y.5,PTS_y.1,FGM-FGA_y.1,FG%_y.4,3PM-3PA_y.1,3P%_y.2,FTM-FTA_y.1,FT%_y.2,Unnamed: 0_y,Team,Salary,Position,Season,Percentile
528,528,Dahntay Jones,DUKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24.7,5.3,6.3,16,19,0.842,,,,,,,,3,24.7,2.7,5,8,15,0.533,17,37,0.459,1.42,0.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30.7,6,2,2.61,5,1.67,10,1.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,3,30.7,24.7,8.3-17.3,0.481,2.7-5.0,0.533,5.3-6.3,0.842,,,,,,,,,,3,30.7,74,25-52,0.481,15-Aug,0.533,16-19,0.842,30,30.7,509,173-369,0.469,39-103,0.379,124-168,0.738,826,Memphis Grizzlies,1223160, SG,2005-2006,0.2975
393,393,DaJuan Summers,GTWN,,,,,,,,,,,,,,,,,,,1,19,7,12,7,12,0.583,3,4,0.75,1.58,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,4,8,4,8,0.5,3,4,0.75,1.58,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32,4,4,5,1,1,2,4,2,,,,,,,,,,,5,30,6,6,1.2,1.6,1,,,,,,,,1,32,19,7.0-12.0,0.583,4.0-8.0,0.5,1.0-1.0,1,,,,,,,,,,5,30,49,17-50,0.34,20-Jun,0.3,13-Sep,0.692,,,,,,,,,,2567,Detroit Pistons,457588, SF,2009-2010,0.088095238
689,689,Dajuan Wagner,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,21.4,2.8,6,14,30,0.467,26,45,0.578,1.43,0.627,,,,,,,,,,,,,5,31,22,4.4,16,3.2,5.7,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,31,21.4,8.0-15.0,0.533,2.8-6.0,0.467,2.6-5.4,0.481,31,32,21.1,7.3-18.5,0.393,1.7-5.7,0.292,4.9-6.5,0.754,5,31,107,40-75,0.533,14-30,0.467,13-27,0.481,31,32,655,225-572,0.393,52-178,0.292,153-203,0.754,1293,Golden State Warriors,798112, SG,2006-2007,0.15942029
394,394,Damian Jones,VAN,,,,,,,,,,,,,,,,,,,3,14.7,5.7,8.3,17,25,0.68,17,25,0.68,1.76,0.68,32,14.2,5.7,9.6,182,306,0.595,182,303,0.601,1.48,0.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,29.7,6,9,2,2.7,0.67,32,29.1,64,80,2,2.75,0.8,,,,,,,,,,,,,,,,,,,3,29.7,44,17-25,0.68,0-0,0,19-Oct,0.526,,,,,,,,,,5671,Golden State Warriors,1171560, C,2016-2017,0.25974026
529,529,Damian Lillard,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,24,8.5,9,17,18,0.944,30,19.7,5.2,6.1,157,184,0.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34,2,2,2.35,4,4,3,0.5,0.67,,,,,,,,,,,,,,,,,,,,,,,,,2,38.5,24,7.0-16.5,0.424,1.5-8.0,0.188,8.5-9.0,0.944,30,34.3,24.5,7.2-15.4,0.47,3.0-7.1,0.425,7.0-8.0,0.883,2,38.5,48,14-33,0.424,16-Mar,0.188,17-18,0.944,30,34.3,736,217-462,0.47,91-214,0.425,211-239,0.883,3755,Portland Trail Blazers,3065040, PG,2012-2013,0.604519774
690,690,Damien Wilkins,UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,5,6,5,6,0.833,1,7,0.143,1.54,0.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40,2,2,2,3,3,2,0.67,1,,,,,,,,,,,,,,,,,,,,,,,,,1,40,20,6.0-13.0,0.462,5.0-6.0,0.833,3.0-4.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,Seattle SuperSonics,2700000, SG,2006-2007,0.504830918
56,56,Damion James,TEX,4,29.8,14,3.5,21,5.3,35,8.8,11.8,34,31.4,105,3.1,253,7.4,358,10.5,13.4,,,,,,,,,,,,,,,,,,,,,,,,,1,16,7,8,7,8,0.875,,,,,,,,,,,,,,,,,,,,34,13.2,1,2,34,76,0.447,138,297,0.465,1.2,0.507,,,,,,,,,,,,,,,,,1,35,3,3,3.43,0,0,5,0,0.6,,,,,,,,,,,4,29.8,5,14,1.25,1.68,0.36,,,,,,,,,,,,,,,,,33,30.1,18,6.2-12.3,0.509,1.1-2.6,0.402,4.5-6.7,0.667,4,29.8,52,21-46,0.457,16-Apr,0.25,11-Jun,0.545,33,30.1,595,206-405,0.509,35-87,0.402,148-222,0.667,2919,New Jersey Nets,1156320, SF,2010-2011,0.295302013
691,691,Damyean Dotson,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,4,6,4,6,0.667,2,7,0.286,1.46,0.615,31,17.3,3.4,8,104,238,0.437,92,179,0.514,1.29,0.595,,,,,,,,,,,,,,,,,1,34,2,2,2.35,1,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,1,35,19,6.0-13.0,0.462,4.0-6.0,0.667,3.0-4.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,6143,New York Knicks,1378242, SG,2017-2018,0.239740821
869,869,Damyean Dotson,ORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30.7,52,19-40,0.475,20-Sep,0.45,8-May,0.625,,,,,,,,,,6143,New York Knicks,1378242, SG,2017-2018,0.239740821
652,652,Dan Dickau,GONZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,20.8,5.1,5.8,157,180,0.872,,,,,,,,,,,,,31,20.8,3.6,8,113,242,0.467,75,176,0.426,1.55,0.585,,,,,,,,,31,34.5,146,4.7,92,3,5.5,1.59,1,39,2,2,2.05,0,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,39,26,7.0-24.0,0.292,4.0-14.0,0.286,8.0-11.0,0.727,31,34.5,20.8,6.1-13.5,0.45,3.6-7.8,0.467,5.1-5.8,0.872,,,,,,,,,,31,34.5,646,188-418,0.45,113-242,0.467,157-180,0.872,765,Boston Celtics,2255350, PG,2005-2006,0.45
57,57,Dan Gadzuric,UCLA,3,33.7,14,4.7,13,4.3,27,9,10.7,,,,,,,,,,3,15.3,7,12.7,21,38,0.553,21,38,0.553,1.21,0.553,30,11.3,4.8,8.6,143,258,0.554,143,257,0.556,1.32,0.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,33.7,6,5,2,2.38,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,3,33.7,46,21-38,0.553,0-0,0,7-Apr,0.571,,,,,,,,,,672,Milwaukee Bucks,4750000, C,2005-2006,0.6825
530,530,Daniel Ewing,DUKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17.3,3.3,4,10,12,0.833,30,12.2,3.3,4,99,120,0.825,3,17.3,2.7,6,8,18,0.444,9,18,0.5,1.44,0.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,39,10,3.33,3.42,11,3.67,6,0.91,1.67,30,34,55,1.83,2.15,87,2.9,93,0.63,0.59,,,,,,,,,,,,,,,3,39,17.3,5.7-12.0,0.472,2.7-6.0,0.444,3.3-4.0,0.833,,,,,,,,,,5,30.6,65,20-51,0.392,23-Sep,0.391,16-22,0.727,,,,,,,,,,922,LA Clippers,450000, PG,2005-2006,0.0575
870,870,Daniel Gibson,TEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,35,44,15-40,0.375,26-Sep,0.346,6-May,0.833,,,,,,,,,,1960,Cleveland Cavaliers,3700000, SG,2008-2009,0.55036855
58,58,Daniel Ochefu,VILL,2,24.5,5,2.5,15,7.5,20,10,16.3,34,24,90,2.6,195,5.7,285,8.4,14,6,11.5,5,7.2,30,43,0.698,30,43,0.698,1.6,0.698,34,9.2,3.6,5.6,124,190,0.653,124,190,0.653,1.65,0.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,28.7,10,10,1.67,2.33,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,28.7,69,30-43,0.698,0-0,0,12-Sep,0.75,,,,,,,,,,6157,Washington Wizards,1312611, PF,2017-2018,0.20950324
823,823,Daniel Orton,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,6,10,1.5,5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2939,Washington Wizards,1028400, C,2010-2011,0.250559284
59,59,Danny Granger,UNM,1,40,3,3,9,9,12,12,12,29,29.7,66,2.3,188,6.5,254,8.8,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,19,1.5,3,44,99,0.444,134,234,0.573,1.65,0.601,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29.7,62,2.14,2.88,70,2.41,68,0.89,0.91,1,40,1,4,1,1,0.25,29,29.7,59,68,2.03,2.74,0.87,,,,,,,,,,29,29.7,19,6.1-11.5,0.535,1.5-3.4,0.444,5.2-6.8,0.758,,,,,,,,,,29,29.7,550,178-333,0.535,44-99,0.444,150-198,0.758,820,Indiana Pacers,1318920, SF,2005-2006,0.3125
395,395,Danny Green,UNC,,,,,,,,,,,,,,,,,,,2,10,3.5,5.5,7,11,0.636,4,5,0.8,1.82,0.773,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,1.5,3,3,6,0.5,4,5,0.8,1.82,0.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,28.7,8,16,1.33,1.86,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,6,28.7,72,26-59,0.441,13-30,0.433,7-Jul,1,,,,,,,,,,3036,San Antonio Spurs,130022, SG,2010-2011,0.033557047
60,60,Dante Cunningham,VILL,5,31.6,17,3.4,28,5.6,45,9,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,2,2,2.86,2,2,2,1,1,,,,,,,,,,,5,31.6,6,17,1.2,1.52,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,5,31.6,83,32-64,0.5,0-0,0,19-24,0.792,,,,,,,,,,2568,Portland Trail Blazers,457588, SF,2009-2010,0.085714286
531,531,Darius Miller,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11.7,2.8,3,17,18,0.944,,,,,,,,,,,,,,,,,,,,33,11.3,1.5,3,51,111,0.459,84,163,0.515,1.36,0.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,33,5,11,1,1.21,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,6,30.3,70,23-41,0.561,16-Jul,0.438,17-18,0.944,,,,,,,,,,6080,New Orleans Pelicans,2100000, SF,2017-2018,0.375809935
752,752,Darius Morris,MICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33,15,7.5,4,2,9.1,3.75,33,34.9,220,6.7,99,3,7.6,2.22,2,33,4,2,2.42,4,2,6,1,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4841,Brooklyn Nets,702756, G,2014-2015,0.126436782
61,61,Darius Songaila,WAKE,2,32.5,5,2.5,13,6.5,18,9,11.1,32,30.3,71,2.2,187,5.8,258,8.1,10.6,,,,,,,,,,,,,,,,,,,,,,,,,2,18.5,3,3.5,6,7,0.857,32,17.8,5.8,6.8,187,219,0.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,32.5,18.5,7.5-15.0,0.5,0.5-0.5,1,3.0-3.5,0.857,32,30.3,17.8,5.9-11.3,0.525,0.2-0.5,0.333,5.8-6.8,0.854,2,32.5,37,15-30,0.5,1-Jan,1,7-Jun,0.857,32,30.3,570,189-360,0.525,15-May,0.333,187-219,0.854,767,Chicago Bulls,2200000, PF,2005-2006,0.445
396,396,Darnell Jackson,KU,,,,,,,,,,,,,,,,,,,6,8.5,3.2,5.5,19,33,0.576,19,33,0.576,1.55,0.576,34,11.6,4.5,7.1,152,240,0.633,150,234,0.641,1.65,0.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,23.2,51,19-33,0.576,0-0,0,13-18,0.722,,,,,,,,,,2166,Cleveland Cavaliers,450000, PF,2008-2009,0.044226044
397,397,Darrell Arthur,KU,,,,,,,,,,,,,,,,,,,6,11,5,8.2,30,49,0.612,30,49,0.612,1.35,0.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,30.3,7,16,1.17,1.54,0.44,34,19.2,49,90,1.44,3.01,0.54,,,,,,,,,,,,,,,,,,,6,30.3,66,30-49,0.612,0-0,0,10-Jun,0.6,,,,,,,,,,2113,Memphis Grizzlies,977160, F,2008-2009,0.174447174
532,532,Darren Collison,UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12.8,4,4.2,20,21,0.952,33,14.5,3.2,3.5,106,116,0.914,5,10.2,2,3,10,16,0.625,8,28,0.286,1.16,0.523,30,12.6,1.5,3,45,100,0.45,85,171,0.497,1.4,0.563,5,35,20,4,14,2.8,4.6,1.43,33,31.5,163,4.9,79,2.4,6.3,2.06,5,35,10,2,2.29,14,2.8,11,0.71,0.91,28,35.2,53,1.89,2.15,55,1.96,29,0.96,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,35,64,19-41,0.463,14-Jun,0.429,20-21,0.952,,,,,,,,,,2488,New Orleans Hornets,1266120, PG,2009-2010,0.276190476
533,533,Darrun Hilliard,VILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19.5,2.5,2.5,5,5,1,,,,,,,,2,19.5,3,6,6,11,0.545,8,15,0.533,1.5,0.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,29,4,2,2.76,2,1,3,2,1.33,33,28.8,59,1.79,2.49,40,1.21,75,1.48,0.79,,,,,,,,,,,,,,,2,29,19.5,7.0-13.0,0.538,3.0-5.5,0.545,2.5-2.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5284,Detroit Pistons,600000, G,2015-2016,0.103926097
62,62,Darryl Watkins,SYR,3,30.7,6,2,21,7,27,9,11.7,30,29,90,3,132,4.4,222,7.4,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40,2,2,2,2,2,2,1,1,,,,,,,,,,,3,30.7,10,12,3.33,4.35,0.83,34,29.5,99,108,2.91,3.95,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2978,New Orleans Pelicans,762195, C,2010-2011,0.163310962
63,63,David Harrison,COLO,1,36,7,7,5,5,12,12,13.3,28,31.4,101,3.6,141,5,242,8.6,11,1,26,10,14,10,14,0.714,10,14,0.714,1.86,0.714,28,16.8,6.3,10,176,281,0.626,176,280,0.629,1.68,0.626,1,26,6,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36,3,4,3,3.33,0.75,28,31.4,82,90,2.93,3.73,0.91,1,36,26,10.0-14.0,0.714,0.0-0.0,0,6.0-6.0,1,28,31.4,16.8,6.3-10.0,0.626,0.0-0.0,0,4.3-8.1,0.527,,,,,,,,,,,,,,,,,,,870,Indiana Pacers,898200, C,2005-2006,0.1875
64,64,David Lee,FLA,2,33.5,11,5.5,7,3.5,18,9,10.7,30,27.7,67,2.2,203,6.8,270,9,13,2,17,6.5,11,13,22,0.591,13,22,0.591,1.55,0.591,31,10.7,4.4,6.8,135,210,0.643,135,210,0.643,1.58,0.643,2,17,4,4.5,8,9,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33.5,6,3,3.58,6,3,9,1,0.67,,,,,,,,,,,2,33.5,6,9,3,3.58,0.67,31,26,47,72,1.52,2.33,0.65,2,33.5,17,6.5-11.0,0.591,0.0-0.0,0,4.0-4.5,0.889,,,,,,,,,,2,29.5,39,14-20,0.7,0-0,0,13-Nov,0.846,,,,,,,,,,878,New York Knicks,861360, PF,2005-2006,0.1675
753,753,David Stockton,GONZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,24.5,9,4.5,9,4.5,7.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4896,Sacramento Kings,29483, G,2014-2015,0
65,65,David West,XAV,2,34,3,1.5,16,8,19,9.5,11.2,30,36.7,96,3.2,265,8.8,361,12,13.1,,,,,,,,,,,,,,,,,,,,,,,,,2,17,6,8,12,16,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34,6,6,3,3.53,1,30,36.7,48,89,1.6,1.74,0.54,2,33.5,17,5.5-13.0,0.423,0.0-0.0,0,6.0-8.0,0.75,30,36.7,20.3,6.7-13.0,0.519,0.3-0.9,0.346,6.6-8.0,0.821,,,,,,,,,,30,36.7,610,202-389,0.519,26-Sep,0.346,197-240,0.821,819,"NO/Oklahoma City


 Hornets",1334160, F,2005-2006,0.315
785,785,De'Aaron Fox,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,29.2,154,4.8,77,2.4,6.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,32.3,21.3,7.8-15.5,0.5,0.5-1.8,0.286,5.3-6.8,0.778,,,,,,,,,,4,32.3,85,31-62,0.5,7-Feb,0.286,21-27,0.778,,,,,,,,,,5991,Sacramento Kings,4609200, PG,2017-2018,0.568034557
489,489,DeAndre Jordan,TA&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,8.2,3.3,5.4,110,177,0.621,110,177,0.621,1.54,0.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2160,LA Clippers,550000, C,2008-2009,0.058968059
824,824,DeAndre Liggins,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,34.6,9,13,1.8,2.08,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,5,34.6,42,14-33,0.424,16-Jun,0.375,11-Aug,0.727,,,,,,,,,,3927,Oklahoma City Thunder,884293, G,2012-2013,0.280602637
66,66,DeAndre' Bembry,JOES,2,40,4,2,14,7,18,9,9,31,38.6,49,1.6,191,6.2,240,7.7,8,,,,,,,,,,,,,,,,,,,,,,,,,2,19.5,5,5.5,10,11,0.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,40,5,2.5,2.5,4,2,6,1.25,0.83,31,38.6,60,1.94,2.01,89,2.87,73,0.67,0.82,,,,,,,,,,,,,,,2,40,19.5,6.5-14.5,0.448,1.5-4.0,0.375,5.0-5.5,0.909,31,38.6,17.7,6.4-14.9,0.432,1.6-4.9,0.327,3.3-5.2,0.638,,,,,,,,,,31,38.6,550,199-461,0.432,50-153,0.327,102-160,0.638,5637,Atlanta Hawks,1499760, SF,2016-2017,0.333333333
70,70,Dejounte Murray,WASH,2,36,7,3.5,11,5.5,18,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,36,10,5,9,4.5,5.6,1.11,,,,,,,,,2,36,5,2.5,2.78,9,4.5,4,0.56,1.25,32,33.3,57,1.78,2.14,101,3.16,86,0.56,0.66,,,,,,,,,,,,,,,2,36,25,9.0-19.5,0.462,0.0-2.0,0,7.0-10.0,0.7,,,,,,,,,,2,36,50,18-39,0.462,0-4,0,14-20,0.7,,,,,,,,,,5670,San Antonio Spurs,1180080, PG,2016-2017,0.261904762
67,67,DeJuan Blair,PITT,4,34,23,5.8,32,8,55,13.8,16.2,35,25.9,137,3.9,183,5.2,320,9.1,14.1,,,,,,,,,,,,,31,15.6,6.4,10.7,199,332,0.599,199,332,0.599,1.45,0.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28,5,2.5,3.57,2,1,7,2.5,0.71,,,,,,,,,,,2,28,4,7,2,2.86,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,4,34,67,27-49,0.551,0-0,0,13-27,0.481,,,,,,,,,,2532,San Antonio Spurs,850000, C,2009-2010,0.171428571
71,71,Delon Wright,UTAH,1,38,1,1,7,7,8,8,8.4,,,,,,,,,,,,,,,,,,,,,,32,15.7,5.3,9.4,171,301,0.568,159,248,0.641,1.67,0.588,3,11,5.7,6.7,17,20,0.85,32,14.9,4.3,5.1,136,163,0.834,,,,,,,,,,,,,,,,,,,,,,,,,1,38,7,7,6,6,7.4,1.17,32,36.4,167,5.2,78,2.4,5.7,2.14,3,35.7,7,2.33,2.62,11,3.67,9,0.64,0.78,32,36.4,80,2.5,2.75,78,2.44,58,1.03,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5182,Toronto Raptors,1509360, PG,2015-2016,0.339491917
534,534,Delonte West,JOES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,19.3,3,3.3,12,13,0.923,28,18.8,4,4.5,112,126,0.889,,,,,,,,,,,,,28,18.8,1.8,4,49,114,0.43,134,245,0.547,1.47,0.578,4,37.8,20,5,16,4,5.3,1.25,28,32.9,131,4.7,66,2.4,5.7,1.98,1,32,2,2,2.5,2,2,3,1,0.67,,,,,,,,,,,,,,,,,,,,,,,,,4,37.8,19.3,7.3-14.3,0.509,1.8-5.5,0.318,3.0-3.3,0.923,28,32.9,18.8,6.5-12.8,0.51,1.8-4.1,0.43,4.0-4.5,0.889,4,37.8,77,29-57,0.509,22-Jul,0.318,13-Dec,0.923,28,32.9,527,183-359,0.51,49-114,0.43,112-126,0.889,852,Boston Celtics,1010040, SG,2005-2006,0.2325
848,848,DeMar DeRozan,USC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,38.5,18,7.0-14.0,0.5,0.0-2.0,0,4.0-5.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,2421,Toronto Raptors,2282640, SG,2009-2010,0.435714286
