,PLAYER,TEAM,GP_x,MPG_x,OFF_x,ORPG_x,DEF_x,DRPG_x,REB_x,RPG_x,RP40_x,GP_y,MPG_y,OFF_y,ORPG_y,DEF_y,DRPG_y,REB_y,RPG_y,RP40_y,GP_x,PPG_x,FGM_x,FGA_x,FGM_x,FGA_x,FG%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x,GP_y,PPG_y,FGM_y,FGA_y,FGM_y,FGA_y,FG%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y,GP_x,PPG_x,FTM_x,FTA_x,FTM_x,FTA_x,FT%_x,GP_y,PPG_y,FTM_y,FTA_y,FTM_y,FTA_y,FT%_y,GP_x,PPG_x,3PM_x,3PA_x,3PM_x,3PA_x,3P%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x,GP_y,PPG_y,3PM_y,3PA_y,3PM_y,3PA_y,3P%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y,GP_x,MPG_x,AST_x,APG_x,TO_x,TOPG_x,AP40M_x,AST/TO_x,GP_y,MPG_y,AST_y,APG_y,TO_y,TOPG_y,AP40M_y,AST/TO_y,GP_x,MPG_x,STL_x,STPG_x,STP40M_x,TO_x,TOPG_x,PF_x,ST/TO_x,ST/PF_x,GP_y,MPG_y,STL_y,STPG_y,STP40M_y,TO_y,TOPG_y,PF_y,ST/TO_y,ST/PF_y,GP_x,MPG_x,BLK_x,PF_x,BLKPG_x,BLKP40M_x,BLK/PF_x,GP_y,MPG_y,BLK_y,PF_y,BLKPG_y,BLKP40M_y,BLK/PF_y,GP_x,MPG_x,PTS_x,FGM-FGA_x,FG%_x,3PM-3PA_x,3P%_x,FTM-FTA_x,FT%_x,GP_y,MPG_y,PTS_y,FGM-FGA_y,FG%_y,3PM-3PA_y,3P%_y,FTM-FTA_y,FT%_y,GP_x,MPG_x,PTS_x,FGM-FGA_x,FG%_x,3PM-3PA_x,3P%_x,FTM-FTA_x,FT%_x,GP_y,MPG_y,PTS_y,FGM-FGA_y,FG%_y,3PM-3PA_y,3P%_y,FTM-FTA_y,FT%_y
10,Amile Jefferson,DUKE,1,27.0,6,6.0,5,5.0,11,11.0,16.3,33,29.5,76,2.3,196,5.9,272,8.2,11.2,,,,,,,,,,,,,33,10.9,4.2,6.8,139,224,.621,139,224,.621,1.61,.621,2,11.0,4.0,4.5,8,9,.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,32.5,9,7,4.50,5.54,1.29,33,29.5,56,86,1.70,2.30,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Andre Brown,DEP,2,35.0,20,10.0,12,6.0,32,16.0,18.3,27,30.3,80,3.0,156,5.8,236,8.7,11.5,2,14.0,7.0,10.0,14,20,.700,14,20,.700,1.40,.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35.0,2,7,1.00,1.14,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Andre Roberson,COLO,1,34.0,0,0.0,8,8.0,8,8.0,9.4,30,33.4,92,3.1,247,8.2,339,11.3,13.5,4,9.8,4.3,5.5,17,22,.773,16,19,.842,1.77,.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,36.5,5,2.50,2.74,7,3.50,4,0.71,1.25,30,33.4,65,2.17,2.59,72,2.40,73,0.90,0.89,2,36.5,3,4,1.50,1.64,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Andrew Bogut,UTAH,1,35.0,2,2.0,6,6.0,8,8.0,9.1,32,30.2,104,3.3,214,6.7,318,9.9,13.2,1,16.0,7.0,12.0,7,12,.583,7,10,.700,1.33,.583,32,12.3,5.0,8.7,161,279,.577,157,270,.581,1.42,.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,40.0,6,8,2.00,2.00,0.75,32,30.2,44,78,1.38,1.82,0.56,1,35.0,16.0,7.0-12.0,.583,0.0-2.0,.000,2.0-2.0,1.000,32,34.5,20.7,8.1-12.9,.628,0.2-0.6,.350,4.2-5.8,.728,3,40.0,54,21-39,.538,2-5,.400,10-24,.417,32,34.5,661,260-414,.628,7-20,.350,134-184,.728
14,Anthony Bennett,UNLV,1,37.0,3,3.0,8,8.0,11,11.0,11.9,34,26.9,83,2.4,191,5.6,274,8.1,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37.0,2,2.00,2.16,2,2.00,4,1.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,26.9,549,198-368,.538,36-95,.379,117-167,.701
15,Anthony Davis,APSU,2,38.5,2,1.0,11,5.5,13,6.5,6.8,,,,,,,,,,2,13.5,5.0,9.0,10,18,.556,9,16,.563,1.50,.583,,,,,,,,,,,,,2,13.5,3.0,3.0,6,6,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,38.5,4,2.00,2.08,2,1.00,3,2.00,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Anthony Johnson,UL,1,32.0,5,5.0,5,5.0,10,10.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.0,1,3,1.00,1.60,0.33,,,,,,,,1,32.0,18.0,8.0-17.0,.471,0.0-1.0,.000,2.0-3.0,.667,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Anthony Tolliver,CREI,2,34.0,5,2.5,9,4.5,14,7.0,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13.5,6.0,6.5,12,13,.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34.0,3,4,1.50,1.76,0.75,28,28.3,44,75,1.57,2.22,0.59,1,33.0,15.0,7.0-16.0,.438,0.0-1.0,.000,1.0-2.0,.500,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Arinze Onuaku,SYR,3,30.3,15,5.0,17,5.7,32,10.7,14.1,32,30.6,99,3.1,153,4.8,252,7.9,10.3,3,10.3,5.0,6.3,15,19,.789,15,19,.789,1.63,.789,32,12.6,5.2,8.1,167,260,.642,167,260,.642,1.55,.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30.3,7,2.33,3.08,4,1.33,8,1.75,0.88,,,,,,,,,,,3,30.3,5,8,1.67,2.20,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,3,30.3,41,19-36,.528,0-0,.000,3-10,.300,,,,,,,,,
19,Arnett Moultrie,UTEP,6,34.2,20,3.3,32,5.3,52,8.7,10.1,31,25.4,101,3.3,149,4.8,250,8.1,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,34.2,79,34-61,.557,2-6,.333,9-13,.692,,,,,,,,,
