,PLAYER,TEAM,GP_x,MPG_x,OFF_x,ORPG_x,DEF_x,DRPG_x,REB_x,RPG_x,RP40_x,GP_y,MPG_y,OFF_y,ORPG_y,DEF_y,DRPG_y,REB_y,RPG_y,RP40_y,GP_x,PPG_x,FGM_x,FGA_x,FGM_x,FGA_x,FG%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x,GP_y,PPG_y,FGM_y,FGA_y,FGM_y,FGA_y,FG%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y,GP_x,PPG_x,FTM_x,FTA_x,FTM_x,FTA_x,FT%_x,GP_y,PPG_y,FTM_y,FTA_y,FTM_y,FTA_y,FT%_y,GP_x,PPG_x,3PM_x,3PA_x,3PM_x,3PA_x,3P%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x,GP_y,PPG_y,3PM_y,3PA_y,3PM_y,3PA_y,3P%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y,GP_x,MPG_x,AST_x,APG_x,TO_x,TOPG_x,AP40M_x,AST/TO_x,GP_y,MPG_y,AST_y,APG_y,TO_y,TOPG_y,AP40M_y,AST/TO_y,GP_x,MPG_x,STL_x,STPG_x,STP40M_x,TO_x,TOPG_x,PF_x,ST/TO_x,ST/PF_x,GP_y,MPG_y,STL_y,STPG_y,STP40M_y,TO_y,TOPG_y,PF_y,ST/TO_y,ST/PF_y,GP_x,MPG_x,BLK_x,PF_x,BLKPG_x,BLKP40M_x,BLK/PF_x,GP_y,MPG_y,BLK_y,PF_y,BLKPG_y,BLKP40M_y,BLK/PF_y,GP_x,MPG_x,PTS_x,FGM-FGA_x,FG%_x,3PM-3PA_x,3P%_x,FTM-FTA_x,FT%_x,GP_y,MPG_y,PTS_y,FGM-FGA_y,FG%_y,3PM-3PA_y,3P%_y,FTM-FTA_y,FT%_y,GP_x,MPG_x,PTS_x,FGM-FGA_x,FG%_x,3PM-3PA_x,3P%_x,FTM-FTA_x,FT%_x,GP_y,MPG_y,PTS_y,FGM-FGA_y,FG%_y,3PM-3PA_y,3P%_y,FTM-FTA_y,FT%_y
127,Jared Dudley,BC,2,36.0,5,2.5,10,5.0,15,7.5,8.3,28,38.6,86,3.1,147,5.3,233,8.3,8.6,2,20.0,4.5,8.0,9,16,.563,7,10,.700,2.50,.625,28,19.0,6.4,11.3,178,317,.562,140,234,.598,1.68,.621,2,20.0,10.0,12.5,20,25,.800,,,,,,,,,,,,,,,,,,,,28,19.0,1.4,3,38,83,.458,140,234,.598,1.68,.621,2,38.0,8,4.0,4,2.0,4.2,2.00,,,,,,,,,2,36.0,5,2.50,2.78,3,1.50,6,1.67,0.83,,,,,,,,,,,,,,,,,,,,,,,,,2,36.0,19.0,8.5-15.0,.567,0.5-2.5,.200,1.5-2.5,.600,28,38.6,19.0,6.4-11.3,.562,1.4-3.0,.458,5.0-6.6,.747,2,36.0,38,17-30,.567,1-5,.200,3-5,.600,28,38.6,533,178-317,.562,38-83,.458,139-186,.747
128,Jared Jeffries,IND,6,33.7,15,2.5,34,5.7,49,8.2,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,33.7,6,16,1.00,1.19,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,6,33.7,84,31-67,.463,3-9,.333,19-30,.633,,,,,,,,,
129,Jared Reiner,IOWA,3,25.3,4,1.3,18,6.0,22,7.3,11.6,25,27.4,70,2.8,139,5.6,209,8.4,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12.0,1,0,1.00,3.33,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Jared Sullinger,OSU,3,29.7,15,5.0,18,6.0,33,11.0,14.8,34,31.9,116,3.4,228,6.7,344,10.1,12.7,3,16.7,6.3,10.3,19,31,.613,19,31,.613,1.61,.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,32.0,9,14,1.80,2.25,0.64,,,,,,,,,,,,,,,,,32,30.1,17.6,6.3-11.7,.539,0.4-1.0,.394,4.5-6.0,.759,3,29.7,50,19-31,.613,0-0,.000,12-17,.706,32,30.1,562,202-375,.539,13-33,.394,145-191,.759
131,Jarell Martin,LSU,1,40.0,2,2.0,9,9.0,11,11.0,11.0,32,35.0,96,3.0,198,6.2,294,9.2,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,35.0,16.9,6.1-12.0,.510,0.4-1.6,.275,4.3-6.2,.690,,,,,,,,,,32,35.0,542,196-384,.510,14-51,.275,136-197,.690
132,Jarnell Stokes,TENN,1,29.0,12,12.0,1,1.0,13,13.0,17.9,32,28.8,126,3.9,179,5.6,305,9.5,13.2,2,14.0,5.0,8.0,10,16,.625,10,15,.667,1.75,.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30.0,4,6,2.00,2.67,0.67,,,,,,,,4,36.0,18.0,5.8-10.3,.561,0.0-0.0,.000,6.5-7.8,.839,,,,,,,,,,4,36.0,72,23-41,.561,0-0,.000,26-31,.839,,,,,,,,,
133,Jarrod Uthoff,IOWA,2,33.5,5,2.5,12,6.0,17,8.5,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,37.0,3,3,1.50,1.62,1.00,32,30.1,54,51,1.69,2.24,1.06,2,37.0,19.5,6.5-16.5,.394,2.0-7.5,.267,4.5-6.0,.750,31,31.2,18.9,6.6-14.6,.452,2.0-5.1,.392,3.6-4.5,.819,,,,,,,,,,31,31.2,585,205-454,.452,62-158,.392,113-138,.819
134,Jarvis Hayes,UGA,2,38.0,5,2.5,11,5.5,16,8.0,8.4,,,,,,,,,,2,28.5,11.0,18.5,22,37,.595,16,29,.552,1.54,.676,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28.5,3.0,4,6,8,.750,16,29,.552,1.54,.676,,,,,,,,,,,,,2,38.0,7,3.5,4,2.0,3.7,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,38.0,28.5,11.0-18.5,.595,3.0-4.0,.750,3.5-4.5,.778,27,32.3,18.3,6.9-13.6,.503,2.0-4.7,.425,2.6-3.3,.784,2,38.0,57,22-37,.595,6-8,.750,7-9,.778,,,,,,,,,
135,Jarvis Varnado,MSST,2,29.5,10,5.0,8,4.0,18,9.0,12.2,32,28.4,73,2.3,181,5.7,254,7.9,11.2,2,11.0,3.5,5.5,7,11,.636,7,11,.636,2.00,.636,34,13.6,5.1,8.7,173,296,.584,173,296,.584,1.56,.584,2,11.0,4.0,5.0,8,10,.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22.0,5,4,5.00,9.09,1.25,31,13.4,61,70,1.97,5.88,0.87,2,29.5,17.5,5.5-10.0,.550,0.0-0.0,.000,6.5-9.5,.684,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Jason Maxiell,CIN,2,21.5,5,2.5,9,4.5,14,7.0,13.0,31,31.2,100,3.2,141,4.5,241,7.8,10.0,2,8.0,4.0,5.0,8,10,.800,8,10,.800,1.60,.800,33,8.2,3.4,6.1,113,201,.562,113,201,.562,1.35,.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33.0,7,4,3.50,4.24,1.75,33,20.9,51,88,1.55,2.95,0.58,2,34.5,15.5,5.5-8.5,.647,1.0-1.0,1.000,3.5-6.0,.583,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Jason Thompson,RID,1,38.0,2,2.0,15,15.0,17,17.0,17.9,27,31.8,78,2.9,148,5.5,226,8.4,10.5,1,15.0,6.0,9.0,6,9,.667,5,8,.625,1.67,.722,33,20.6,8.2,14.6,269,482,.558,259,449,.577,1.41,.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,38.0,3,3,3.00,3.16,1.00,27,31.8,48,86,1.78,2.24,0.56,,,,,,,,,,31,34.1,20.1,7.1-13.7,.520,0.2-0.7,.273,5.7-7.8,.724,,,,,,,,,,31,34.1,624,221-425,.520,6-22,.273,176-243,.724
138,Jason Williams,UTEP,1,28.0,2,2.0,5,5.0,7,7.0,10.0,,,,,,,,,,1,10.0,4.0,7.0,4,7,.571,4,6,.667,1.43,.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,36.5,14,7.0,5,2.5,7.7,2.80,,,,,,,,,2,36.5,5,2.50,2.74,5,2.50,4,1.00,1.25,,,,,,,,,,,,,,,,,,,,,,,,,2,36.5,21.0,6.5-12.0,.542,1.0-3.0,.333,7.0-9.0,.778,,,,,,,,,,2,36.5,42,13-24,.542,2-6,.333,14-18,.778,,,,,,,,,
139,Jawad Williams,UNC,2,30.5,7,3.5,8,4.0,15,7.5,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13.5,5.5,6.0,11,12,.917,31,14.1,2.8,3.3,86,102,.843,3,16.0,3.3,5,10,16,.625,7,20,.350,1.33,.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,34.7,4,7,1.33,1.54,0.57,,,,,,,,3,34.7,16.0,5.7-12.0,.472,3.3-5.3,.625,1.3-1.7,.800,,,,,,,,,,3,34.7,48,17-36,.472,10-16,.625,4-5,.800,,,,,,,,,
140,Jeff Adrien,CONN,1,41.0,5,5.0,7,7.0,12,12.0,11.7,31,33.1,117,3.8,184,5.9,301,9.7,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,32.8,8,10,1.60,1.95,0.80,,,,,,,,1,41.0,18.0,8.0-16.0,.500,1.0-1.0,1.000,1.0-2.0,.500,,,,,,,,,,5,32.8,69,28-54,.519,0-0,.000,13-30,.433,,,,,,,,,
141,Jeff Foote,COR,1,31.0,5,5.0,5,5.0,10,10.0,12.9,31,27.4,71,2.3,183,5.9,254,8.2,12.0,3,12.0,4.3,6.7,13,20,.650,13,20,.650,1.80,.650,21,8.1,3.0,5.1,62,108,.574,62,108,.574,1.58,.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,33.3,5,4,1.67,2.00,1.25,31,27.4,60,77,1.94,2.82,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Jeff Green,GTWN,3,36.0,8,2.7,13,4.3,21,7.0,7.8,,,,,,,,,,3,14.3,6.0,9.3,18,28,.643,15,21,.714,1.54,.696,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14.3,1.0,2,3,7,.429,15,21,.714,1.54,.696,,,,,,,,,,,,,3,36.0,13,4.3,8,2.7,4.8,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26.7,7,10,2.33,3.50,0.70,29,34.6,45,83,1.55,1.79,0.54,,,,,,,,,,,,,,,,,,,3,26.7,43,18-28,.643,3-7,.429,4-4,1.000,,,,,,,,,
143,Jeff Withey,KU,3,35.0,6,2.0,24,8.0,30,10.0,11.4,34,30.6,73,2.1,212,6.2,285,8.4,11.0,3,15.0,6.3,10.3,19,31,.613,19,31,.613,1.45,.613,34,13.6,4.9,8.4,166,287,.578,165,286,.577,1.61,.580,3,15.0,2.3,2.7,7,8,.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,35.0,17,9,5.67,6.48,1.89,34,30.6,129,68,3.79,4.97,1.90,,,,,,,,,,,,,,,,,,,3,35.0,45,19-31,.613,0-0,.000,7-8,.875,,,,,,,,,
144,Jeffery Taylor,VAN,1,35.0,2,2.0,7,7.0,9,9.0,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,32.2,557,200-401,.499,63-146,.432,94-153,.614
145,Jeremy Evans,WKU,3,22.3,8,2.7,12,4.0,20,6.7,11.9,,,,,,,,,,2,10.5,4.0,6.0,8,12,.667,8,12,.667,1.75,.667,32,8.7,3.6,5.7,115,182,.632,115,181,.635,1.52,.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30.5,9,3,4.50,5.90,3.00,32,25.0,59,78,1.84,2.95,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Jermareo Davidson,ALA,1,31.0,4,4.0,6,6.0,10,10.0,12.9,31,25.7,67,2.2,175,5.6,242,7.8,12.1,2,16.5,7.0,13.0,14,26,.538,14,26,.538,1.27,.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35.0,2,2.00,2.29,1,1.00,3,2.00,0.67,,,,,,,,,,,1,35.0,4,3,4.00,4.57,1.33,31,25.7,46,76,1.48,2.31,0.61,2,33.5,16.5,7.0-13.0,.538,0.0-0.0,.000,2.5-4.5,.556,,,,,,,,,,2,33.5,33,14-26,.538,0-0,.000,5-9,.556,,,,,,,,,
147,Jerome Jordan,TLSA,1,36.0,4,4.0,8,8.0,12,12.0,13.3,34,27.0,83,2.4,210,6.2,293,8.6,12.8,1,23.0,8.0,9.0,8,9,.889,8,9,.889,2.56,.889,33,10.1,4.0,6.7,132,221,.597,132,221,.597,1.51,.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26.0,3,7,1.50,2.31,0.43,33,25.0,121,95,3.67,5.87,1.27,1,36.0,23.0,8.0-9.0,.889,0.0-0.0,.000,7.0-11.0,.636,,,,,,,,,,6,32.8,76,22-52,.423,0-0,.000,32-47,.681,,,,,,,,,
148,Joakim Noah,FLA,6,27.5,14,2.3,44,7.3,58,9.7,14.1,34,25.6,88,2.6,191,5.6,279,8.2,12.8,6,16.2,5.5,10.0,33,60,.550,33,59,.559,1.62,.550,33,13.8,5.1,7.9,169,262,.645,169,262,.645,1.74,.645,6,16.2,5.2,6.2,31,37,.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,27.5,12,13,2.00,2.91,0.92,33,23.6,66,73,2.00,3.39,0.90,6,32.2,16.2,5.5-10.0,.550,0.0-0.2,.000,5.2-6.2,.838,,,,,,,,,,6,27.5,69,20-35,.571,0-0,.000,29-41,.707,,,,,,,,,
149,Joe Alexander,WVU,3,36.0,6,2.0,23,7.7,29,9.7,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18.0,5.0,6.0,15,18,.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16.4,6,10,1.20,2.93,0.60,33,31.2,49,90,1.48,1.90,0.54,3,36.0,18.0,6.3-17.3,.365,0.3-1.0,.333,5.0-6.0,.833,,,,,,,,,,3,36.0,54,19-52,.365,1-3,.333,15-18,.833,33,31.2,553,200-422,.474,10-38,.263,143-176,.813
150,Joel Bolomboy,WEB,1,37.0,3,3.0,7,7.0,10,10.0,10.8,29,29.8,100,3.4,213,7.3,313,10.8,14.5,,,,,,,,,,,,,32,17.2,5.8,10.1,187,322,.581,168,270,.622,1.71,.610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22.6,60,71,1.88,3.32,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Joey Dorsey,MEM,4,27.5,18,4.5,13,3.3,31,7.8,11.3,33,20.6,103,3.1,148,4.5,251,7.6,14.8,,,,,,,,,,,,,33,8.7,3.4,5.4,111,177,.627,111,176,.631,1.63,.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,29.7,14,18,2.33,3.15,0.78,33,20.6,65,120,1.97,3.82,0.54,,,,,,,,,,,,,,,,,,,6,29.7,39,18-29,.621,0-0,.000,3-12,.250,,,,,,,,,
152,Joey Graham,OKST,5,31.8,9,1.8,24,4.8,33,6.6,8.3,,,,,,,,,,5,13.6,5.4,8.6,27,43,.628,24,35,.686,1.58,.663,30,12.2,4.8,8.5,144,254,.567,133,233,.571,1.44,.589,3,13.7,4.0,4.7,12,14,.857,30,18.1,4.8,5.4,145,163,.890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,31.1,18.1,6.3-11.7,.536,0.8-1.7,.460,4.8-5.4,.890,3,25.0,41,13-29,.448,3-5,.600,12-14,.857,30,31.1,544,188-351,.536,23-50,.460,145-163,.890
153,John Collins,WAKE,1,36.0,4,4.0,5,5.0,9,9.0,10.0,32,26.3,120,3.8,195,6.1,315,9.8,15.0,1,26.0,9.0,13.0,9,13,.692,9,13,.692,2.00,.692,32,18.9,7.0,11.3,225,363,.620,225,362,.622,1.67,.620,1,26.0,8.0,8.0,8,8,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,26.3,52,96,1.63,2.47,0.54,1,36.0,26.0,9.0-13.0,.692,0.0-0.0,.000,8.0-8.0,1.000,32,26.3,18.9,7.0-11.3,.620,0.0-0.0,.000,4.9-6.6,.736,,,,,,,,,,32,26.3,606,225-363,.620,0-1,.000,156-212,.736
154,John Edwards,KENT,1,34.0,4,4.0,6,6.0,10,10.0,11.8,,,,,,,,,,1,16.0,7.0,7.0,7,7,1.000,7,7,1.000,2.29,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,25.8,80,94,2.67,4.13,0.85,1,25.0,16.0,7.0-7.0,1.000,0.0-0.0,.000,2.0-4.0,.500,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,John Henson,UNC,3,30.3,5,1.7,19,6.3,24,8.0,10.5,33,26.4,108,3.3,224,6.8,332,10.1,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30.3,7,3,2.33,3.08,2.33,33,26.4,103,55,3.12,4.74,1.87,,,,,,,,,,,,,,,,,,,4,29.8,56,23-48,.479,0-1,.000,10-18,.556,,,,,,,,,
156,John Shurna,NW,2,38.0,7,3.5,10,5.0,17,8.5,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,23.5,5.0,9,10,18,.556,4,16,.250,1.38,.559,29,16.5,2.3,5,67,145,.462,89,176,.506,1.49,.590,2,38.0,9,4.5,6,3.0,4.7,1.50,,,,,,,,,2,38.0,5,2.50,2.63,6,3.00,5,0.83,1.00,,,,,,,,,,,2,38.0,3,5,1.50,1.58,0.60,,,,,,,,2,38.0,23.5,7.0-17.0,.412,5.0-9.0,.556,4.5-6.0,.750,31,37.3,19.8,6.9-14.8,.467,2.7-6.4,.429,3.3-4.3,.754,2,38.0,47,14-34,.412,10-18,.556,9-12,.750,31,37.3,614,214-458,.467,85-198,.429,101-134,.754
157,Jon Brockman,WASH,1,26.0,4,4.0,8,8.0,12,12.0,18.5,32,28.8,117,3.7,190,5.9,307,9.6,13.3,1,22.0,9.0,13.0,9,13,.692,9,13,.692,1.69,.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26.0,2,2.00,3.08,1,1.00,2,2.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,1,26.0,22.0,9.0-13.0,.692,0.0-0.0,.000,4.0-8.0,.500,31,31.7,17.6,7.4-13.8,.531,0.0-0.0,.000,2.9-5.6,.520,,,,,,,,,,31,31.7,546,228-429,.531,0-0,.000,90-173,.520
158,Jonathan Isaac,FSU,2,33.5,1,0.5,21,10.5,22,11.0,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33.5,4,7,2.00,2.39,0.57,30,25.7,45,63,1.50,2.33,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Jordan Hamilton,TEX,2,34.5,4,2.0,12,6.0,16,8.0,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19.0,5.0,10,5,10,.500,1,3,.333,1.46,.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32.0,19.0,6.0-13.0,.462,5.0-10.0,.500,2.0-2.0,1.000,34,32.1,18.6,6.7-15.2,.441,2.6-6.6,.388,2.7-3.4,.784,,,,,,,,,,34,32.1,634,228-517,.441,87-224,.388,91-116,.784
160,Jordan Hill,ARIZ,1,33.0,4,4.0,8,8.0,12,12.0,14.5,33,29.3,80,2.4,178,5.4,258,7.8,10.7,,,,,,,,,,,,,33,13.2,5.4,8.7,179,288,.622,179,288,.622,1.51,.622,1,16.0,6.0,7.0,6,7,.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,29.3,55,101,1.67,2.27,0.54,1,33.0,16.0,5.0-9.0,.556,0.0-0.0,.000,6.0-7.0,.857,31,35.8,18.5,7.5-13.8,.548,0.0-0.0,.000,3.4-5.3,.650,3,34.3,47,18-42,.429,0-0,.000,11-16,.688,31,35.8,574,234-427,.548,0-0,.000,106-163,.650
161,Jordan Mickey,LSU,1,38.0,3,3.0,11,11.0,14,14.0,14.7,30,34.8,96,3.2,198,6.6,294,9.8,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,38.0,6,2,6.00,6.32,3.00,32,32.6,101,68,3.16,3.87,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Josh Akognon,CSF,1,37.0,1,1.0,7,7.0,8,8.0,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31.0,4.0,5.0,4,5,.800,31,19.9,3.3,3.7,103,114,.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37.0,3,3.00,3.24,3,3.00,2,1.00,1.50,,,,,,,,,,,,,,,,,,,,,,,,,1,37.0,31.0,11.0-23.0,.478,5.0-12.0,.417,4.0-5.0,.800,31,31.5,19.9,6.5-14.5,.448,3.6-9.1,.392,3.3-3.7,.904,,,,,,,,,,31,31.5,616,201-449,.448,111-283,.392,103-114,.904
163,Josh Boone,CONN,6,26.0,19,3.2,20,3.3,39,6.5,10.0,29,29.4,108,3.7,143,4.9,251,8.7,11.8,2,8.0,3.5,5.5,7,11,.636,7,11,.636,1.45,.636,29,12.7,4.9,8.0,141,232,.608,141,232,.608,1.58,.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30.5,4,3,2.00,2.62,1.33,32,21.2,60,51,1.88,3.53,1.18,,,,,,,,,,,,,,,,,,,4,28.8,32,11-20,.550,0-0,.000,10-21,.476,,,,,,,,,
164,Josh Childress,STAN,2,32.0,6,3.0,10,5.0,16,8.0,10.0,31,34.1,69,2.2,184,5.9,253,8.2,9.6,,,,,,,,,,,,,,,,,,,,,,,,,2,19.0,3.5,3.5,7,7,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35.0,7,5,3.50,4.00,1.40,,,,,,,,2,32.0,19.0,7.0-16.0,.438,1.5-4.5,.333,3.5-3.5,1.000,,,,,,,,,,2,32.0,38,14-32,.438,3-9,.333,7-7,1.000,,,,,,,,,
165,Josh Davis,WYO,2,35.0,9,4.5,16,8.0,25,12.5,14.3,,,,,,,,,,2,14.0,5.5,9.5,11,19,.579,11,19,.579,1.47,.579,,,,,,,,,,,,,2,14.0,3.0,3.0,6,6,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35.0,6,8,3.00,3.43,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Josh Harrellson,UK,5,34.4,19,3.8,21,4.2,40,8.0,9.3,33,27.6,121,3.7,168,5.1,289,8.8,12.7,5,13.0,5.6,7.8,28,39,.718,28,39,.718,1.67,.718,33,6.8,3.0,5.1,99,169,.586,97,159,.610,1.33,.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,34.4,6,9,1.20,1.40,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,5,34.4,65,28-39,.718,0-0,.000,9-20,.450,,,,,,,,,
167,Josh Howard,WAKE,2,33.0,5,2.5,16,8.0,21,10.5,12.7,29,28.4,103,3.6,131,4.5,234,8.1,11.3,,,,,,,,,,,,,,,,,,,,,,,,,2,13.0,5.0,5.0,10,10,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33.0,5,2.50,3.03,9,4.50,6,0.56,0.83,29,32.3,59,2.03,2.52,73,2.52,83,0.81,0.71,2,33.0,6,6,3.00,3.64,1.00,29,32.3,42,83,1.45,1.79,0.51,,,,,,,,,,29,32.3,20.0,6.8-14.0,.482,1.8-4.7,.393,4.7-5.7,.823,,,,,,,,,,29,32.3,580,196-407,.482,53-135,.393,135-164,.823
