,PTS_x,DRPG_x,TOPG_x,PF_x,RPG_x
465,,,1.7,,
176,,5.0,,,11.0
496,,,,,
611,,,,,
552,,,2.5,2.0,
718,,,2.5,1.0,
330,,,,,
275,,5.0,,,10.0
647,,,,,
471,23.0,,2.0,2.0,
276,19.0,5.5,,,7.5
424,,,,,
186,,5.0,,,9.0
449,,,2.0,,
143,,8.0,,,10.0
878,,,,,
858,18.0,,,,
370,,,,,
269,,6.0,,,10.0
91,,7.0,4.0,4.0,10.0
529,27.0,,3.0,4.0,
102,18.0,7.0,,5.0,11.0
145,,4.0,,,6.7
885,,,,,
21,,6.5,,,9.8
23,28.5,9.0,,,15.0
756,,,1.0,,
686,,,,,
266,22.5,4.5,,,7.0
184,,5.5,,3.0,8.5
14,,8.0,,4.0,11.0
394,,,3.0,,
155,,6.3,,,8.0
318,,,,,
109,,6.6,,,10.2
112,,3.0,3.4,4.0,8.0
131,,9.0,,,11.0
257,,4.0,,3.0,8.0
157,22.0,8.0,,2.0,12.0
408,28.7,,,,
40,20.0,4.0,5.0,3.0,10.0
713,20.0,,,,
4,20.5,6.0,,,8.0
788,21.3,,,,
526,21.0,,3.0,,
78,22.0,7.0,3.0,1.0,7.0
814,,,,4.0,
760,,,4.0,1.0,
597,,,,,
274,17.5,3.0,,,7.0
544,,,,,
895,,,,,
153,26.0,5.0,,,9.0
383,,,4.0,3.0,
19,,5.3,,,8.7
795,,,,,
730,,,,,
301,19.0,7.0,,,10.0
479,20.0,,,,
231,,5.0,2.5,,9.5
224,15.5,7.3,,,9.5
258,,6.3,,,9.0
745,,,,,
438,,,3.5,,
699,,,,1.0,
460,31.0,,,,
85,16.4,9.4,,,12.2
76,,5.0,,,8.0
659,,,,,
339,,,,,
549,15.5,,,7.0,
834,,,,,
560,15.7,,,,
334,,,,,
664,,,,,
225,,6.0,,,7.3
39,26.5,3.8,2.3,,7.3
303,26.0,9.0,,,11.0
292,,8.0,,,11.0
100,21.0,3.0,,,8.0
349,,,,,
620,,,5.0,4.0,
805,,,,3.0,
477,19.4,,,12.0,
581,23.5,,1.6,5.0,
849,,,,,
673,,,4.0,3.0,
452,,,,,
84,,7.0,,,12.0
891,,,,,
701,19.0,,,,
793,,,,,
327,,,,,
888,,,,,
126,,5.0,,,12.0
101,22.0,7.7,,,9.3
585,,,,,
769,,,1.5,,
799,,,,,
569,,,,,
313,22.0,6.7,,,9.7
260,21.5,3.5,2.0,,9.0
287,23.0,3.3,,,7.3
381,,,,5.0,
272,23.0,6.0,,,7.3
473,25.0,,,,
763,,,2.3,,
411,,,,,
588,,,,,
229,20.0,6.5,,,9.0
44,,2.0,,,8.0
129,,6.0,,,7.3
0,,5.0,,,10.0
66,19.5,7.0,,6.0,9.0
325,,,,,
244,24.0,7.0,,,12.0
632,25.0,,1.0,2.0,
505,18.0,,2.5,,
2,,6.5,,,8.5
827,,,,,
261,24.0,8.0,,,12.0
889,,,,,
847,,,,,
676,,,,,
173,,6.3,,,9.8
535,,,,,
97,17.0,5.5,,,8.5
704,,,,9.0,
489,,,2.8,3.0,
875,,,,,
779,,,2.0,2.0,
177,,8.3,,,9.3
584,,,,,
746,,,5.5,2.0,
604,24.0,,2.0,,
796,,,,,
514,,,,,
607,,,1.0,2.0,
511,34.0,,,,
62,,5.0,,2.0,7.0
440,,,,7.0,
221,,5.3,,,9.5
8,19.0,4.3,,,6.7
456,,,,,
195,,5.0,5.0,6.0,7.0
879,,,,,
841,,,,,
133,19.5,6.0,,,8.5
853,,,,,
595,19.0,,1.3,4.0,
299,,2.0,2.0,,9.0
208,23.8,11.5,,,18.0
222,23.3,4.3,,8.0,7.0
207,20.0,9.0,,,10.0
397,19.0,,,2.0,
706,,,,,
58,,7.5,,,8.5
130,,6.0,,,11.0
601,,,,3.0,
562,,,,,
213,22.0,4.0,,,7.0
22,,6.3,,,8.3
69,,4.0,2.0,5.0,7.0
747,,,,,
123,19.7,6.0,3.0,4.0,8.3
360,,,,,
169,22.0,6.0,1.0,,12.0
682,19.0,,,3.0,
377,20.0,,,4.0,
883,,,,,
